%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
119 1072 3.279974e-01 0 0 4.882451e-04 1.483201e-02 1.376133e-02 8.252618e-04 
120 1081 3.305704e-01 0 0 4.823993e-04 1.428358e-02 1.322964e-02 7.949815e-04 
121 1090 3.613943e-01 0 0 5.042228e-04 1.773136e-02 1.753232e-02 9.734182e-04 
122 1099 3.172864e-01 0 0 4.242283e-04 1.491310e-02 1.472827e-02 8.228040e-04 
123 1108 2.955531e-01 0 0 3.815100e-04 1.393756e-02 1.400381e-02 7.773911e-04 
124 1117 3.500640e-01 0 0 4.430077e-04 1.818411e-02 1.985012e-02 9.897205e-04 
125 1126 4.400936e-01 0 0 5.566673e-04 2.418834e-02 2.834890e-02 1.357982e-03 
126 1135 5.115718e-01 0 0 6.357443e-04 2.899743e-02 3.515853e-02 1.579577e-03 
127 1144 4.872812e-01 0 0 5.747996e-04 2.648247e-02 3.250789e-02 1.435291e-03 
128 1153 4.930024e-01 0 0 5.520135e-04 2.595960e-02 3.170462e-02 1.427911e-03 
129 1162 4.240626e-01 0 0 4.622848e-04 2.225383e-02 2.749408e-02 1.213435e-03 
130 1171 4.080336e-01 0 0 4.425521e-04 2.193948e-02 2.629609e-02 1.190259e-03 
131 1180 3.936381e-01 0 0 4.073746e-04 2.082644e-02 2.429111e-02 1.123601e-03 
132 1189 4.454174e-01 0 0 5.276096e-04 2.755402e-02 3.235783e-02 1.522945e-03 
133 1198 5.254385e-01 0 0 6.365744e-04 3.338066e-02 3.956989e-02 1.924521e-03 
134 1207 5.326371e-01 0 0 6.525025e-04 3.550851e-02 4.191458e-02 2.043985e-03 
135 1216 4.884163e-01 0 0 5.705918e-04 3.137478e-02 3.711284e-02 1.816691e-03 
136 1225 4.691323e-01 0 0 5.777230e-04 3.138704e-02 3.739202e-02 1.811457e-03 
137 1234 5.536738e-01 0 0 6.742477e-04 3.557225e-02 4.332139e-02 2.104898e-03 
138 1243 5.085643e-01 0 0 5.950543e-04 3.220032e-02 3.935025e-02 1.901719e-03 
139 1252 5.132931e-01 0 0 5.727793e-04 3.158107e-02 3.774100e-02 1.855323e-03 
140 1261 4.385244e-01 0 0 4.633906e-04 2.600785e-02 3.116593e-02 1.521255e-03 
141 1270 4.247492e-01 0 0 4.283978e-04 2.440753e-02 2.932819e-02 1.456319e-03 
142 1279 3.948293e-01 0 0 3.847554e-04 2.241825e-02 2.714828e-02 1.342225e-03 
143 1288 4.765513e-01 0 0 5.454273e-04 3.291923e-02 4.057247e-02 1.907577e-03 
144 1297 4.942158e-01 0 0 5.946534e-04 3.589507e-02 4.377593e-02 2.089330e-03 
145 1306 5.330510e-01 0 0 6.825163e-04 4.218973e-02 5.018790e-02 2.442525e-03 
146 1315 7.149244e-01 0 0 1.007550e-03 6.133635e-02 7.298157e-02 3.584009e-03 
147 1324 6.883573e-01 0 0 9.541307e-04 5.804691e-02 6.911178e-02 3.401173e-03 
148 1333 6.120822e-01 0 0 8.249995e-04 5.030907e-02 5.949984e-02 2.940630e-03 
149 1342 6.797895e-01 0 0 1.012922e-03 6.066323e-02 7.062950e-02 3.522297e-03 
150 1351 6.114136e-01 0 0 8.916054e-04 5.368527e-02 6.261610e-02 3.116175e-03 
151 1360 5.567268e-01 0 0 7.884311e-04 4.760193e-02 5.521877e-02 2.746043e-03 
152 1369 4.981973e-01 0 0 6.673196e-04 4.021267e-02 4.680362e-02 2.324556e-03 
153 1378 4.569495e-01 0 0 5.945748e-04 3.569902e-02 4.151626e-02 2.065614e-03 
154 1387 4.233737e-01 0 0 5.224319e-04 3.129327e-02 3.641856e-02 1.812657e-03 
155 1396 3.624987e-01 0 0 4.229653e-04 2.545561e-02 2.959317e-02 1.470564e-03 
156 1405 3.200828e-01 0 0 3.666440e-04 2.174020e-02 2.527326e-02 1.255716e-03 
157 1414 3.145418e-01 0 0 3.455118e-04 2.066733e-02 2.420089e-02 1.186444e-03 
158 1423 2.787522e-01 0 0 2.901507e-04 1.748712e-02 2.037984e-02 1.004915e-03 
159 1432 2.558185e-01 0 0 2.525507e-04 1.548014e-02 1.784909e-02 8.908873e-04 
160 1441 2.721155e-01 0 0 2.668123e-04 1.614117e-02 1.895635e-02 9.458961e-04 
161 1450 2.536014e-01 0 0 2.398686e-04 1.450719e-02 1.714958e-02 8.540823e-04 
162 1459 2.114763e-01 0 0 1.906691e-04 1.153831e-02 1.365456e-02 6.777838e-04 
163 1468 1.672423e-01 0 0 1.423327e-04 8.623669e-03 1.020341e-02 5.066650e-04 
164 1477 1.501623e-01 0 0 1.240669e-04 7.656693e-03 9.045960e-03 4.472441e-04 
165 1486 1.563896e-01 0 0 1.395673e-04 8.319426e-03 9.835796e-03 4.805169e-04 
166 1495 1.439232e-01 0 0 1.232655e-04 7.353997e-03 8.656069e-03 4.245634e-04 
167 1504 1.380910e-01 0 0 1.129555e-04 6.731249e-03 7.876898e-03 3.876950e-04 
168 1513 1.175010e-01 0 0 9.214781e-05 5.452678e-03 6.398326e-03 3.138811e-04 
169 1522 9.858888e-02 0 0 7.354219e-05 4.341756e-03 5.098876e-03 2.510021e-04 
170 1531 1.010185e-01 0 0 7.436451e-05 4.349730e-03 5.122626e-03 2.554704e-04 
171 1540 8.828269e-02 0 0 6.235994e-05 3.632202e-03 4.271230e-03 2.132226e-04 
172 1549 7.492071e-02 0 0 5.060695e-05 2.977897e-03 3.483247e-03 1.746840e-04 
173 1558 7.412754e-02 0 0 4.807363e-05 2.790136e-03 3.286096e-03 1.634885e-04 
174 1567 7.498078e-02 0 0 5.112454e-05 2.933914e-03 3.439665e-03 1.693299e-04 
175 1576 6.746546e-02 0 0 4.523025e-05 2.576540e-03 3.019482e-03 1.486920e-04 
176 1585 6.093970e-02 0 0 3.904649e-05 2.199583e-03 2.578968e-03 1.270044e-04 
177 1594 5.817389e-02 0 0 3.535351e-05 2.002065e-03 2.350801e-03 1.156917e-04 
